5245.844876,10391.812535,39781.107729,58023.632429,95807.787281,98603.409156,100361.427643,99282.646694
5211.516746,10364.253300,39921.989292,58314.333569,95282.795634,99206.968702,99922.464602,99388.330078
5201.985485,10353.460170,38276.154496,58204.486943,95611.569110,99282.646694,99797.088459,99033.118034
5213.984141,10363.728114,37907.585070,58277.935575,95647.766257,97457.846517,98366.289444,97274.642629
5202.779476,10373.740821,37836.121182,58327.004400,95513.761114,99234.474619,99360.738815,97737.286000
5215.921733,10378.654114,37815.134058,58251.851948,94849.328563,97588.495967,97015.366628,96722.605472
5206.002034,10371.285919,37820.794956,58833.556560,94973.073348,98814.386196,100570.582494,97274.642629
5210.271283,10356.630816,40022.059321,57836.887907,96951.857698,97643.961624,99804.045545,97089.931415
5209.980550,10384.877607,39787.004011,58086.410733,95906.198691,99156.580769,98490.352596,99138.270572
5209.317042,10369.207675,39435.931466,58441.290154,96304.033723,93885.222987,100608.275849,96932.164933
5210.821237,10368.556831,39898.625099,58155.623956,94648.668870,97497.668574,99776.223017,98585.302667
5207.643225,10387.615295,39962.477748,58268.447918,96531.303711,97338.575288,99406.732769,99794.769645
5205.472024,10381.614362,39584.222374,58020.497075,95255.323826,98292.001465,101819.906500,99475.803595
5209.443411,10353.060856,39839.779753,58527.298812,96159.572283,101375.299077,99418.237911,98585.302667
5203.989832,10379.180814,39405.900342,58079.341393,95017.196053,98159.462827,98442.946114,99581.898818
